index,name,place_id,rating,rating_count,tags,address,price_level
843,Piccolo Nido,ChIJ7dKUr4lw44kRQgcLuCxvd-w,4.5,171,"('bar', 'restaurant', 'point_of_interest', 'food', 'establishment')","257 North St, Boston",2
844,Villa Mexico Cafe,ChIJa5gbkoZw44kR8ppNqV3cBZU,4.3,308,"('restaurant', 'food', 'point_of_interest', 'establishment')","121 Water St, Boston",1
845,Yamato II,ChIJzTuafAt644kRjZr4eVOxSjo,4.0,1362,"('restaurant', 'food', 'point_of_interest', 'establishment')","545 Boylston St, Boston",2
846,Mediterranean Grill Boston,ChIJS8iO2YZw44kRwcgdhLDNOMo,4.2,74,"('bakery', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment')","281 Franklin St, Boston",2
847,Five Horses Tavern - South End,ChIJ0zDxyRN644kRmjjsjViOnIA,4.3,1023,"('bar', 'restaurant', 'food', 'point_of_interest', 'establishment')","535 Columbus Ave, Boston",2
848,North Street Grille,ChIJfy_Jq4lw44kRys8t-RHVDcU,4.6,1412,"('restaurant', 'food', 'point_of_interest', 'establishment')","229 North St, Boston",2
849,Energize,ChIJwZFQm3J744kR-87GTIzyq0Y,4.9,178,"('restaurant', 'food', 'point_of_interest', 'store', 'establishment')","265 Massachusetts Ave, Boston",2
850,Mooo....Beacon Hill,ChIJAZdvUptw44kRfXewjayzpw4,4.5,1026,"('restaurant', 'point_of_interest', 'food', 'establishment')","15 Beacon St, Boston",4
851,Del Frisco's Double Eagle Steakhouse,ChIJL8L_n4J644kRvjY9czf-Tis,4.3,1702,"('bar', 'restaurant', 'food', 'point_of_interest', 'establishment')","250 Northern Ave Suite 200, Boston",4
852,Audubon,ChIJDaJJzfZ544kRnon1_FQE2cg,4.6,684,"('bar', 'restaurant', 'point_of_interest', 'food', 'establishment')","838 Beacon St, Boston",2
853,Shun's Kitchen,ChIJt4R5VBF644kROOGyTVsaUZA,4.2,376,"('restaurant', 'food', 'point_of_interest', 'establishment')","520 Columbus Ave, Boston",2
854,Chicken and Rice Guys,ChIJ_VrOrFJ744kR6Jv_c2EXBh4,4.9,18,"('restaurant', 'food', 'point_of_interest', 'establishment')","17 Drydock Ave, Boston",1
855,Silk Road Uyghur Cuisine,ChIJVw78f69x44kRfJnoMYncGEE,4.4,506,"('restaurant', 'food', 'point_of_interest', 'establishment')","645 Cambridge St, Cambridge",1
856,bartaco,ChIJmdLFGhRx44kR47hXCPB5qHk,4.4,1484,"('restaurant', 'food', 'point_of_interest', 'establishment')","25 Thomson Pl, Boston",2
857,Eventide Fenway,ChIJzzGbwvV544kR-2wfUUIXrcE,4.3,829,"('restaurant', 'point_of_interest', 'food', 'establishment')","1321 Boylston St, Boston",3
858,Shu Da Xia Hotpot 蜀大侠火锅,ChIJLfVqmvd544kRk4kiKkJxkPw,4.4,86,"('restaurant', 'food', 'point_of_interest', 'establishment')","580 Commonwealth Ave, Boston",1
859,Alma Cantina,ChIJn6YxAXBx44kRZo7mVur7hO0,4.4,227,"('bar', 'restaurant', 'food', 'point_of_interest', 'establishment')","15 Union St, Boston",2
860,Ali Baba Restaurant Boston,ChIJMxiILG5644kR48UneqbLBAk,4.3,1305,"('restaurant', 'point_of_interest', 'food', 'establishment')","145 E Berkeley St, Boston",2
861,Nine Tastes,ChIJmZ7GUV1344kRjBf1i2C_FMA,4.1,407,"('restaurant', 'food', 'point_of_interest', 'establishment')","50 John F. Kennedy St, Cambridge",2
862,Nico Ristorante,ChIJi1Zl1Ytw44kRH2EeOIwalEA,4.3,622,"('night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment')","417 Hanover St, Boston",2
863,Bodega Canal,ChIJZwshr49w44kRUk95njqPRiM,3.8,620,"('restaurant', 'food', 'bar', 'point_of_interest', 'establishment')","57 Canal St, Boston",2
864,honeygrow,ChIJqzNGAR5644kRUviH1DHbjuQ,4.1,332,"('restaurant', 'food', 'point_of_interest', 'establishment')","1282 Boylston St, Boston",2
865,The Friendly Toast,ChIJ8V9mMnN644kRpeZLuoShwNg,4.6,4623,"('bar', 'restaurant', 'food', 'point_of_interest', 'establishment')","35 Stanhope St, Boston",2
866,Caffe Strega,ChIJrZA9YIJw44kRmPdoWdMQjUk,0.0,0,"('restaurant', 'food', 'point_of_interest', 'establishment')","99 Summer Street, Boston",Unknown
867,Sip Wine Bar and Kitchen,ChIJOQnvWp1w44kRbGp4pR82Dg0,4.2,438,"('bar', 'restaurant', 'food', 'point_of_interest', 'establishment')","581 Washington St, Boston",2
868,Waverly Kitchen & Bar Charlestown,ChIJZxEaTnFx44kRq3wYQXk-beo,4.7,154,"('bar', 'restaurant', 'food', 'point_of_interest', 'establishment')","231 Bunker Hill St, Charlestown",2
869,The Capital Grille,ChIJ57pOLgV644kR7DyFbT5fANk,4.6,1212,"('bar', 'restaurant', 'point_of_interest', 'food', 'establishment')","900 Boylston St, Boston",4
