name,rating,price_level,rating_count,tags,address
Euno,4.7,2,375.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","119 Salem St, Boston"
LaMei Hot Pot,4.7,2,283.0,"('meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment')","230 Harvard St, Brookline"
Banh Mi Ok,4.7,Unknown,201.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","44 School St, Boston"
El Jefe's Taqueria - Boston Common,4.7,2,693.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","80 Boylston St, Boston"
Cafe Porto Bello,4.6,2,221.0,"('restaurant', 'point_of_interest', 'food', 'establishment')","672 E Broadway, South Boston"
SRV,4.6,3,1012.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","569 Columbus Ave, Boston"
KAVA Neo-Taverna,4.6,3,851.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","315 Shawmut Ave, Boston"
o ya,4.6,4,525.0,"('meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment')","9 E St, Boston"
Regina Pizzeria,4.6,2,5502.0,"('bar', 'restaurant', 'food', 'point_of_interest', 'establishment')","11 1/2 Thacher St, Boston"
AllSpice Restaurant,4.6,Unknown,116.0,"('restaurant', 'point_of_interest', 'food', 'establishment')","805 Harrison Ave, Boston"
Wheelhouse Boston,4.6,1,409.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","100 High St, Boston"
TABLE,4.6,3,827.0,"('restaurant', 'point_of_interest', 'food', 'establishment')","445 Hanover St, Boston"
Gifu Teriyaki & Sushi,4.6,2,42.0,"('cafe', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment')","705 Massachusetts Ave, Boston"
Prezza,4.6,3,508.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","24 Fleet St, Boston"
Podima Pizza,4.6,1,147.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","168 Cambridge St, Boston"
Ernesto's Pizza,4.6,1,1461.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","69 Salem St, Boston"
Gufo,4.6,2,137.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","660 Cambridge St, Cambridge"
Deuxave,4.6,4,650.0,"('bar', 'restaurant', 'food', 'point_of_interest', 'establishment')","371 Commonwealth Ave, Boston"
Grainne O'Malley's Tavern,4.6,2,474.0,"('bar', 'restaurant', 'food', 'point_of_interest', 'establishment')","201 Harvard St, Brookline"
The Street Bar,4.6,Unknown,153.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","1 Newbury St, Boston"
Parish Cafe & Bar,4.6,2,1532.0,"('restaurant', 'bar', 'point_of_interest', 'food', 'establishment')","361 Boylston St, Boston"
Pete's Dockside,4.6,1,328.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","12 Channel St, Boston"
Chilacates Amory St,4.6,1,1034.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","224 Amory St, Boston"
Dumpling Xuan,4.6,2,317.0,"('meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment')","465 Cambridge St, Cambridge"
Hen Chicken Rice,4.6,1,198.0,"('meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment')","24 Union Square, Somerville"
Mahaniyom,4.6,2,444.0,"('restaurant', 'food', 'point_of_interest', 'establishment')","236 Washington St, Brookline"
